Section,h[mm],b[mm],tw[mm],tf[mm],hi[mm],r1[mm],d[mm],A[cm2],Iy[cm4],Iz[cm4],Ip[cm4],iy[mm],iz[mm],ip[mm],max Sy[cm3],max Sz[cm3],Wy[cm3],Wz[cm3],Ay[cm2],Az[cm2],It[cm4],"It,s[cm4]",Wt[cm3],max ω[cm2],Iω[cm6],iω[mm],Wω[cm4],max Sω[cm4],"Wpl,y[cm3]","Wpl,z[cm3]","Wpl,ω[cm4]","Wpl,y,webs[cm3]","Wpl,z,flanges[cm3]","αpl,y","αpl,z","αpl,ω","Apl,y[cm2]","Apl,z[cm2]",Npl[kN],"Vpl,y[kN]","Vpl,z[kN]","Mpl,y[kNm]","Mpl,z[kNm]",Nu[kN],G[kg/m],Am[m2/m],V[cm3/m],Am/V[1/m],Aw[cm2]
UB 127x76x13,127,76,4,7.6,111.8,7.6,96.6,16.5,473,56,529,53.5,18.4,56.6,42.08,5.5,75,15,9.78,4.57,2.85,349.94,3.75,22.69,2000,19.4,88.16,32.76,84.17,22.58,131.03,12.5,21.95,1.122,1.505,1.5,11.55,4.78,388.284,156.734,64.799,19.78,5.31,388.284,13,0.537,1650,325.426,4.47
UB 152x89x16,152.4,88.7,4.5,7.7,137,7.6,121.8,20.3,834,90,924,64.1,21,67.5,61.64,7.58,109,20,11.52,6.23,3.56,678.76,4.62,32.09,5000,23.3,155.83,54.79,123.28,31.18,219.15,21.12,30.29,1.131,1.559,1.5,13.66,6.51,477.603,185.332,88.346,28.97,7.33,477.603,15.9,0.638,2030,314.065,6.17
UB 178x102x19,177.8,101.2,4.8,7.9,162,7.6,146.8,24.3,1356,137,1493,74.8,23.7,78.5,85.64,10.12,153,27,13.45,7.8,4.41,992.75,5.58,42.98,10000,25.9,232.64,85.91,171.28,41.59,343.65,31.49,40.45,1.119,1.54,1.5,15.99,8.16,570.212,216.943,110.648,40.25,9.77,570.212,19.1,0.738,2430,303.602,7.78
UB 203x102x23,203.2,101.8,5.4,9.3,184.6,7.6,169.4,29.4,2105,164,2269,84.6,23.6,87.8,117.05,12.05,207,32,15.91,10.09,7.02,1414.57,7.55,49.35,15000,25.7,303.97,116.8,234.1,49.75,467.19,46,48.19,1.131,1.555,1.5,18.93,10.47,690.945,256.902,142.062,55.01,11.69,690.945,23.1,0.79,2940,268.623,9.97
UB 203x133x25,203.2,133.2,5.7,7.8,187.6,7.6,172.4,32,2340,308,2648,85.6,31,91,128.88,17.31,230,46,17.45,10.49,5.96,1618.4,7.64,65.07,29000,33.1,445.69,169.01,257.76,70.94,676.03,50.15,69.19,1.121,1.542,1.5,20.78,11.14,751.322,281.927,151.115,60.57,16.67,751.322,25.1,0.915,3200,285.86,10.69
UB 203x133x30,206.8,133.9,6.4,9.6,187.6,7.6,172.4,38.2,2896,385,3281,87.1,31.7,92.7,157.2,21.52,280,57,21.59,11.95,10.3,2047.56,10.73,66.01,37000,33.6,560.5,212.14,314.39,88.22,848.55,56.31,86.06,1.123,1.548,1.5,25.71,12.62,898.027,348.81,171.236,73.88,20.73,898.027,30,0.923,3820,241.715,12.01
UB 254x102x22,254,101.6,5.7,6.8,240.4,7.6,225.2,28,2841,119,2960,101,20.6,103.1,129.52,8.8,224,23,11.56,13.53,4.15,1730.72,6.1,62.79,18000,24.7,286.68,108.45,259.05,37.27,433.8,82.35,35.1,1.156,1.621,1.5,13.82,14.09,658.45,187.473,191.175,60.88,8.76,658.45,22,0.89,2800,317.84,13.7
UB 254x102x25,257.2,101.9,6,8.4,240.4,7.6,225.2,32,3415,149,3564,103,21.5,105.2,152.78,10.92,266,29,14.47,14.41,6.42,2225.58,7.64,63.38,23000,25.4,362.88,135.63,305.56,46.01,542.52,86.69,43.61,1.149,1.586,1.5,17.12,14.93,752.985,232.269,202.539,71.81,10.81,752.985,25.1,0.897,3200,280.298,14.42
UB 254x102x28,260.4,102.2,6.3,10,240.4,7.6,225.2,36.1,4005,179,4184,105,22.2,107.3,176.42,13.06,308,35,17.29,15.3,9.57,2695.34,9.57,63.98,28000,25.9,437.66,163.46,352.84,54.85,653.85,91.02,52.22,1.146,1.567,1.5,20.44,15.78,847.972,277.324,214.034,82.92,12.89,847.972,28.3,0.904,3610,250.402,15.15
UB 254x146x31,251.4,146.1,6,8.6,234.2,7.6,219,39.7,4413,448,4861,105,33.6,110.2,196.55,22.96,351,61,21.1,13.85,8.55,3102.14,9.94,88.68,66000,36.8,744.23,278.57,393.1,94.13,1114.26,82.27,91.78,1.12,1.543,1.5,25.13,14.57,932.478,340.946,197.655,92.38,22.12,932.478,31.2,1.062,3970,267.545,14.05
