Section,h[mm],b[mm],tw[mm],tf[mm],hi[mm],r1[mm],d[mm],A[cm2],Iy[cm4],Iz[cm4],Ip[cm4],iy[mm],iz[mm],ip[mm],max Sy[cm3],max Sz[cm3],Wy[cm3],Wz[cm3],Ay[cm2],Az[cm2],It[cm4],"It,s[cm4]",Wt[cm3],max ω[cm2],Iω[cm6],iω[mm],Wω[cm4],max Sω[cm4],"Wpl,y[cm3]","Wpl,z[cm3]","Wpl,ω[cm4]","Wpl,y,webs[cm3]","Wpl,z,flanges[cm3]","αpl,y","αpl,z","αpl,ω","Apl,y[cm2]","Apl,z[cm2]",Npl[kN],"Vpl,y[kN]","Vpl,z[kN]","Mpl,y[kNm]","Mpl,z[kNm]",Nu[kN],G[kg/m],Am[m2/m],V[cm3/m],Am/V[1/m],Aw[cm2]
UC 152x152x23,152.4,152.2,5.8,6.8,138.8,7.6,123.6,29.2,1250,400,1650,65.4,37,75.1,91,19.71,164,53,17.34,7.57,4.63,917.32,6.81,55.4,21200,35.8,382.67,143.34,182,80.16,573.38,27.93,78.76,1.11,1.512,1.5,20.7,8.44,687.336,280.841,114.577,42.77,18.84,687.336,22.9,0.889,2920,304.436,8.05
UC 152x152x30,157.6,152.9,6.5,9.4,138.8,7.6,123.6,38.3,1748,560,2308,67.6,38.3,77.7,123.84,27.48,222,73,24.03,8.79,10.5,1321.48,11.17,56.65,30800,36.5,543.69,203.55,247.68,111.59,814.2,31.31,109.88,1.116,1.529,1.5,28.75,9.63,899.249,390.007,130.698,58.21,26.22,899.249,30.1,0.901,3830,235.183,9.02
UC 152x152x37,161.8,154.4,8,11.5,138.8,7.6,123.6,47.1,2210,706,2916,68.5,38.7,78.7,154.39,34.26,273,91,29.73,10.98,19.2,1678.47,16.7,58.02,39900,37,687.74,257.53,308.78,139.58,1030.13,38.53,137.08,1.131,1.534,1.5,35.51,12.02,1107.196,481.817,163.138,72.56,32.8,1107.196,37,0.912,4710,193.663,11.1
UC 152x152x44,166,155.9,9.5,13.6,138.8,7.6,123.6,56.1,2703,860,3563,69.4,39.2,79.7,186.13,41.29,326,110,35.54,13.24,31.7,2056.92,23.31,59.4,49900,37.4,840.1,314.84,372.26,168.72,1259.38,45.76,165.27,1.142,1.534,1.5,42.4,14.48,1318.104,575.337,196.434,87.48,39.65,1318.104,44,0.924,5610,164.626,13.19
UC 152x152x51,170.2,157.4,11,15.7,138.8,7.6,123.6,65.2,3227,1022,4249,70.4,39.6,80.8,219.08,48.56,379,130,41.44,15.56,48.8,2470.02,31.08,60.8,61000,37.9,1003.36,375.59,438.15,199.04,1502.37,52.98,194.48,1.156,1.531,1.5,49.42,16.99,1531.973,670.566,230.584,102.97,46.77,1531.973,51.2,0.935,6520,143.398,15.27
UC 203x203x46,203.2,203.6,7.2,11,181.2,12.7,155.8,59.2,4605,1549,6154,88.2,51.1,101.9,250.89,57.07,453,152,37.51,12.66,23.3,3457.04,21.18,97.83,143000,48.2,1461.72,547.75,501.77,231.23,2191,59.1,227.99,1.108,1.521,1.5,44.79,13.84,1391.93,607.726,187.756,117.92,54.34,1391.93,46.5,1.185,5920,200.101,13.05
UC 203x203x52,206.2,204.3,7.9,12.5,181.2,12.7,155.8,66.8,5296,1778,7074,89.1,51.6,103,285.86,65.28,514,174,42.75,14.04,33.2,4015.53,26.56,98.93,167000,48.6,1688.02,631.62,571.73,264.63,2526.48,64.85,260.87,1.112,1.521,1.5,51.07,15.3,1569.388,692.972,207.617,134.36,62.19,1569.388,52.4,1.192,6680,178.443,14.31
UC 203x203x60,209.6,205.8,9.4,14.2,181.2,12.7,155.8,76.9,6162,2065,8227,89.5,51.8,103.4,330.2,75.22,588,201,48.94,16.81,49.1,4660.03,34.58,100.53,197000,48.9,1959.55,734.49,660.41,305.76,2937.94,77.16,300.71,1.123,1.521,1.5,58.45,18.37,1806.508,792.996,249.207,155.2,71.85,1806.508,60.4,1.202,7690,156.28,17.03
UC 203x203x71,215.8,206.4,10,17.3,181.2,12.7,155.8,90.9,7655,2538,10193,91.8,52.8,105.9,401.55,92.1,709,246,59.8,18.38,82.7,5883.04,47.8,102.43,250000,49.5,2440.79,914.34,803.09,374.11,3657.35,82.08,368.5,1.133,1.521,1.5,71.41,19.85,2136.786,968.931,269.319,188.73,87.92,2136.786,71.4,1.215,9090,133.707,18.12
UC 203x203x86,222.2,209.1,12.7,20.5,181.2,12.7,155.8,110,9486,3128,12614,92.8,53.3,107,490.53,111.94,854,299,71.84,23.65,140,7290.19,68.29,105.44,318000,50.2,3015.97,1129.92,981.06,456.74,4519.68,104.25,448.16,1.149,1.528,1.5,85.73,25.62,2588.197,1163.175,347.55,230.55,107.34,2588.197,86.4,1.234,11000,112.145,23.01
